['21042', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21002', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21043', 'O', '369', '377', 'Oz', 'O', '485', '435']
['21006', '89', '69', '170', '40', '191', 'O', 'O']
['21044', '487', 'O', '374', '470', '374', '486', '485']
['21007', '439', '393', '376', '395', '376', '378', 'O']
['21045', 'O', 'O', '77', '195', '90', '43', '172']
['21010', 'O', '74', '74', '172', '89', 'O', 'O']
['21046', '739', 'Oz', 'Oz', '705', '711', '641', '792']
['21011', 'O', '495', '472', '51', '72', 'O', 'O']
['21047', '40', '191', '71', '143', '109', '178', 'O']
['21012', '707', '697', 'O', 'O', '370', '774', '640']
['21048', '652', '474', 'O', 'O', '671', '342', '697']
['21013', '340', '342', '346', '369', 'O', '374', '370']
['21049', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21014', 'O', 'O', '406', '487', '344', '372', 'O']
['21050', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21015', '46', 'O', '69', '191', '46', '77', 'O']
['21051', '69', '170', '91', '73', '178', 'O', 'O']
['21016', '74', '172', '46', '71', '74', 'O', 'O']
['21052', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21018', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21053', '702', '682', '698', 'O', 'O', '399', '775']
['21019', 'O', '649', '649', '649', '649', 'O', 'O']
['21055', '572', '345', 'O', 'O', 'O', '493', '492']
['21020', '79', '79', '90', '173', '175', 'O', 'O']
['21056', '80', '81', '185', '46', 'O', '440', '174']
['21021', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['3720304', '788', '696', '643', '788', 'O', '913', '874']
['21022', '191', 'O', 'O', '43', '41', '70', '188']
['3760392', '442', '475', 'O', 'O', '396', '377', 'O']
['21023', '83', '48', '48', 'O', 'Oz', 'O', '375']
['3760393', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21024', '495', 'O', '342', '342', '399', 'O', 'O']
['56650', '82', '178', 'O', '83', '48', '91', '471']
['21025', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['63867', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21026', 'I-GO', 'I-GO', '52', '178', '76', '78', '69']
['70932', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21027', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21028', 'Oz', 'O', '43', '77', '143', '47', '98']
['21029', '485', '344', 'O', 'O', '70', '474', '374']
['21030', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21031', '141', '97', 'Oz', 'Oz', '97', '398', 'O']
['21032', '391', '439', '471', 'O', 'O', '567', '344']
['21033', '409', '442', 'Oz', '174', '382', 'O', 'O']
['21034', '369', '411', 'O', '72', '343', 'Oz', 'Oz']
['21035', '470', 'Oz', 'O', 'O', '345', '390', '389']
['21036', '76', '93', '80', 'O', '108', '42', '177']
['21037', '396', '489', 'O', 'O', '375', '473', '346']
['21038', '489', 'O', 'O', '344', '394', 'Oz', 'Oz']
['21039', '643', 'O', 'O', 'O', '474', '669', '691']
['21040', 'O', '383', '351', '791', 'O', 'O', '675']
