['21035', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['21071', '640', '693', '787', 'O', 'O', '432', '487']
['21036', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['21072', '189', '91', '170', 'O', 'O', '76', '474']
['21037', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['21073', '674', '708', '770', 'O', 'O', '672', '792']
['21038', 'O', '485', '83', '402', '485', '489', 'Oz']
['21074', '104', '72', '42', 'O', 'O', '372', '71']
['21039', '776', '643', '788', '707', 'Oz', '771', '790']
['21075', '383', '472', '143', 'O', 'O', '370', '645']
['21040', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21076', '42', '104', '69', 'O', 'O', '344', '675']
['21041', 'I-PD', 'I-PD', 'I-PD', 'I-PD', 'Oz', 'Oz', 'Oz']
['21077', '374', '411', '491', 'O', 'O', '476', '489']
['21042', 'O', '372', '474', '644', '671', 'O', 'O']
['21078', '72', '140', '189', 'O', 'O', '470', '470']
['21043', '477', '475', '340', '390', '381', '376', 'O']
['21079', '170', '97', '141', 'O', 'O', '373', '676']
['21044', '382', '378', '343', '381', '470', '486', 'O']
['21080', '440', '487', '411', 'O', 'O', '644', '672']
['21045', '172', '44', '79', '196', '80', 'O', '345']
['3720304', '913', '913', '913', '913', '912', '913', 'O']
['21046', '474', '677', '701', '776', '787', '689', 'O']
['3760392', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21047', '40', '187', '144', '189', '40', '44', 'O']
['3760393', '794', '707', '348', '471', '652', '777', 'O']
['21048', '649', 'O', '669', '692', '674', '786', 'O']
['56650', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21049', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['63867', '74', '172', '103', '51', '195', '91', 'O']
['21050', '650', '692', 'Oz', '794', '643', '673', '736']
['70932', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21051', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21052', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
